State,District,Market,Commodity,Variety,Grade,Modal Price,Year,Month,Week,Day,Price_Range,Mid_Price,Volatility
4,60,1194,31,80,0,1000.0,2023,7,30,28,200.0,1000.0,0.1998001998001998
4,60,1194,33,82,0,5100.0,2023,7,30,28,200.0,5100.0,0.03920799843168006
4,60,1194,38,86,0,2500.0,2023,7,30,28,200.0,2500.0,0.07996801279488205
4,60,1194,48,100,0,3600.0,2023,7,30,28,200.0,3600.0,0.055540127742293804
4,60,1194,66,134,0,2100.0,2023,7,30,28,200.0,2100.0,0.09519276534983341
4,60,1194,88,176,0,4400.0,2023,7,30,28,300.0,4350.0,0.0689496667432774
4,60,1194,120,248,0,2300.0,2023,7,30,28,200.0,2300.0,0.0869187309865276
4,60,1194,130,307,1,4300.0,2023,7,30,28,200.0,4300.0,0.046500813764240874
4,60,1194,147,307,0,1200.0,2023,7,30,28,200.0,1200.0,0.16652789342214822
4,60,1194,149,305,1,3400.0,2023,7,30,28,200.0,3400.0,0.058806233460746836
4,60,1194,153,316,1,2100.0,2023,7,30,28,200.0,2100.0,0.09519276534983341
4,60,1194,166,327,1,17100.0,2023,7,30,28,200.0,17100.0,0.011695222501608094
4,60,1194,167,307,0,1500.0,2023,7,30,28,200.0,1500.0,0.13324450366422386
4,60,1194,168,331,0,1000.0,2023,7,30,28,200.0,1000.0,0.1998001998001998
4,60,1194,169,336,0,1600.0,2023,7,30,28,200.0,1600.0,0.12492192379762648
4,60,1194,192,307,0,2600.0,2023,7,30,28,300.0,2650.0,0.11316484345529988
4,97,162,152,207,0,1500.0,2023,7,30,28,0.0,1500.0,0.0
4,97,230,129,277,0,2000.0,2023,7,30,28,0.0,2000.0,0.0
4,97,230,152,207,0,1500.0,2023,7,30,28,50.0,1525.0,0.0327653997378768
4,97,412,152,207,0,1550.0,2023,7,30,28,0.0,1550.0,0.0
4,97,832,152,207,0,1800.0,2023,7,30,28,0.0,1800.0,0.0
4,179,599,191,441,0,4497.0,2023,7,30,28,20.0,4501.0,0.00444247001332741
4,179,599,217,126,0,2200.0,2023,7,30,28,0.0,2200.0,0.0
4,185,181,129,206,0,1550.0,2023,7,30,28,100.0,1550.0,0.06447453255963895
4,185,264,152,307,0,2000.0,2023,7,30,28,200.0,2000.0,0.09995002498750624
4,185,655,129,206,0,1550.0,2023,7,30,28,100.0,1550.0,0.06447453255963895
